"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,9.97319,19.4029,19.2566,13.04,20.646,7.75053,217.58
0.0003,10.2166,19.756,19.8172,13.3065,21.6441,7.82164,218.939
0.0007,10.4012,19.8266,20.1472,13.4267,22.3902,7.82164,220.577
0.001,10.5311,19.8316,20.3138,13.4685,22.9727,7.83941,222.177
0.0013,10.6082,19.9275,20.3811,13.4738,23.4211,7.94015,223.266
0.0017,10.6325,20.2452,20.4035,13.4738,23.7123,8.16531,223.72
0.002,10.6325,20.8656,20.4067,13.4842,23.8138,8.50899,223.844
0.0023,10.667,21.8289,20.4067,13.5051,23.8138,8.93563,223.917
0.0027,10.8192,23.0747,20.4099,13.5417,23.9545,9.38596,224.136
0.003,11.1417,24.4415,20.4131,13.5835,24.4813,9.83038,224.831
0.0033,11.6104,25.7226,20.4131,13.6149,25.4009,10.2392,225.913
0.0037,12.1216,26.7566,20.4163,13.6201,26.4546,10.6185,226.556
0.004,12.5537,27.4778,20.4163,13.6201,27.3415,10.9384,226.556
0.0043,12.8377,27.9166,20.4195,13.6462,27.8913,11.1873,227.674
0.0047,12.9757,28.1436,20.4227,13.6933,28.1236,11.3473,231.731
0.005,13.0142,28.2344,20.4355,13.7351,28.1727,11.4243,237.44
0.0053,12.996,28.2293,20.16,13.7508,28.1694,11.4421,239.055
0.0057,12.9919,28.2142,19.9966,13.7298,28.2152,11.448,239.516
0.006,13.0122,28.2142,19.9742,13.6096,28.2938,11.454,230.81
0.0063,13.0508,28.2041,20.0095,13.3222,28.3789,11.4777,213.53
0.0067,13.0893,28.1587,19.8525,12.9041,28.4869,11.5251,194.013
0.007,13.0913,28.0377,19.1861,12.533,28.6243,11.6021,178.173
0.0073,13.0163,27.8208,17.8182,12.3971,28.7225,11.6613,167.611
0.0077,12.8154,27.503,15.8897,12.5016,28.6799,11.6673,160.359
0.008,12.4604,27.0844,13.9643,12.6323,28.441,11.6021,153.657
0.0083,11.9634,26.5599,12.763,12.5434,27.9993,11.4836,145.908
0.0087,11.3689,25.8588,12.4683,12.1201,27.2989,11.3651,137.224
0.009,10.7441,24.9257,12.4651,11.4145,26.3074,11.2584,128.877
0.0093,10.1477,23.7707,12.0358,10.594,25.1686,11.1814,122.261
0.0097,9.6283,22.535,10.9113,9.79957,24.3275,11.1281,117.92
0.01,9.22865,21.4658,9.25189,9.1149,24.2948,11.1221,115.157
0.0103,8.96491,20.7647,7.44508,8.56613,25.1522,11.1932,112.883
0.0107,8.83305,20.4621,5.93941,8.17937,26.4514,11.3473,110.522
0.011,8.79044,20.4066,5.10648,7.98599,27.6491,11.5843,107.956
0.0113,8.79247,20.4117,5.00397,7.94941,28.4836,11.8628,105.288
0.0117,8.81276,20.3209,5.28588,7.98077,28.9777,12.1117,103.147
0.012,8.8513,20.0031,5.55818,7.99645,29.2919,12.2598,102.153
0.0123,8.89796,19.3525,5.64468,7.98599,29.57,12.2776,101.904
0.0127,8.89999,18.2631,5.64788,7.95464,29.7893,12.1946,101.794
0.013,8.79653,16.6592,5.85932,7.89192,29.7991,12.0643,102.072
0.0133,8.57945,14.5762,6.52566,7.81875,29.4293,11.9517,102.321
0.0137,8.38064,12.1804,7.59245,7.77171,28.6865,11.8806,101.085
0.014,8.44353,9.70399,8.77136,7.76648,27.7931,11.8391,99.6454
0.0143,8.91622,7.4293,9.75805,7.76648,27.1157,11.7621,102.489
0.0147,9.6567,5.61359,10.3635,7.77171,26.8932,11.6317,109.513
0.015,10.3465,4.51911,10.5686,7.8292,27.0077,11.4954,113.724
0.0153,10.7502,4.34763,10.5557,7.98599,27.0961,11.4184,110.698
0.0157,10.8618,4.99322,10.6262,8.2055,27.1091,11.4421,104.309
0.016,10.8557,6.1583,11.0106,8.46683,27.6066,11.5369,101.509
0.0163,10.9287,7.60583,11.661,8.75428,29.2853,11.6851,102.664
0.0167,11.162,9.14919,12.3337,9.04696,32.0702,11.851,103.3
0.017,11.5028,10.6219,12.8175,9.22466,35.1398,12.0169,102.299
0.0173,11.868,11.8627,13.0321,9.14104,37.7087,12.1532,101.568
0.0177,12.2109,12.8058,13.0449,8.82222,39.4562,12.2361,101.546
0.018,12.5233,13.4363,13.0994,8.48773,40.4445,12.2065,101.524
0.0183,12.8073,13.7692,13.7305,8.44069,40.8699,12.0702,101.699
0.0187,13.0447,13.8499,15.6462,9.03651,40.9451,11.8865,102.211
0.019,13.207,13.7944,19.0131,10.6619,40.883,11.7384,102.299
0.0193,13.278,13.749,23.0689,13.1131,40.8731,11.6732,101.846
0.0197,13.2861,13.86,26.612,15.4964,40.9779,11.6673,101.546
0.02,13.2922,14.1575,28.7552,16.9859,41.0433,11.691,101.524
0.0203,13.3287,14.5509,29.4504,17.4302,40.8044,11.7147,101.546
0.0207,13.3632,14.9242,29.4568,17.3727,40.1107,11.7325,101.846
0.021,13.3429,15.2167,29.665,17.4563,39.0667,11.7325,102.299
0.0213,13.2577,15.4235,30.2577,17.7908,37.9574,11.7147,102.211
0.0217,13.1542,15.595,30.7927,18.1096,37.0247,11.6673,101.699
0.022,13.1035,15.7614,30.9753,18.2873,36.3571,11.6139,101.524
0.0223,13.1562,15.9329,30.9368,18.3918,35.9154,11.5665,101.546
0.0227,13.3327,16.0792,30.94,18.512,35.6208,11.531,101.561
0.023,13.6147,16.1548,31.0361,18.7368,35.4376,11.4836,102.291
0.0233,13.9373,16.1649,31.1002,19.1549,35.3427,11.371,103.286
0.0237,14.1747,16.175,31.0265,19.7402,35.3492,11.1695,102.679
0.024,14.1807,16.2406,30.7894,20.3622,35.4768,10.8851,101.524
0.0243,13.848,16.3667,30.4819,20.9214,35.7125,10.5711,104.316
0.0247,13.1948,16.518,30.2609,21.4388,35.9317,10.3281,110.924
0.025,12.3813,16.6895,30.3442,21.9772,35.935,10.2037,114.499
0.0253,11.6611,16.9164,30.8439,22.5939,35.7288,10.1859,110.924
0.0257,11.2472,17.2392,31.6256,23.2576,35.647,10.18,104.316
0.026,11.1478,17.6528,32.3079,23.796,36.0201,10.1207,101.524
0.0263,11.1823,18.0058,32.561,24.0521,36.6615,10.0022,102.679
0.0267,11.1722,18.0462,32.3848,24.0312,36.9953,9.85408,103.286
0.027,11.0687,17.6427,32.1414,23.9109,36.6517,9.70594,102.291
0.0273,10.8942,16.8862,32.2983,23.8273,35.8008,9.56373,101.561
0.0277,10.6569,16.0338,33.1345,23.7855,34.9107,9.39782,101.546
0.028,10.3505,15.3428,34.6209,23.7489,34.3217,9.22005,101.524
0.0283,9.99753,14.9393,36.4469,23.7542,34.0631,9.09562,101.699
0.0287,9.63439,14.8283,38.0872,23.7646,34.0141,9.06599,102.211
0.029,9.32399,14.9544,38.856,23.5817,34.0828,9.07191,102.299
0.0293,9.14952,15.2419,38.1769,22.8918,34.2202,9.00081,101.846
0.0297,9.1617,15.5445,36.0657,21.5016,34.3446,8.78749,101.546
0.03,9.29154,15.7009,33.5733,19.7089,34.3478,8.47937,101.524
0.0303,9.38891,15.6101,32.529,18.2612,34.2039,8.16531,101.546
0.0307,9.37066,15.3024,33.9578,17.6967,34.0533,7.92237,101.846
0.031,9.2611,14.9242,36.9339,17.7385,34.1122,7.74461,102.299
0.0313,9.15561,14.5913,39.9356,17.8692,34.5213,7.58462,102.211
0.0317,9.11301,14.3442,42.239,18.1305,35.2085,7.36538,101.699
0.032,9.12721,14.1474,43.8696,18.8518,35.9219,7.0217,101.524
0.0323,9.15155,13.9608,44.978,19.897,36.3604,6.57136,101.546
0.0327,9.11301,13.7641,45.5707,20.796,36.4259,6.08547,101.561
0.033,8.90608,13.5926,45.6988,21.2402,36.5568,5.63513,102.291
0.0333,8.45165,13.5019,45.638,21.2507,37.7774,5.2559,103.286
0.0337,7.82883,13.4968,45.7405,20.9266,40.9124,5.02481,102.679
0.034,7.39468,13.4968,46.1826,20.3936,45.7131,5.10777,101.524
0.0343,7.62596,13.4363,46.8617,19.7977,51.2076,5.52255,104.316
0.0347,8.71132,13.3152,47.5313,19.2437,56.6465,6.07955,110.924
