"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,0.376687,0.374372,0.35917,0.408098,1.27891,2.95421,0
0.0003,0.425435,0.384582,0.364696,0.425841,1.27891,2.95926,0
0.0007,0.447593,0.398196,0.364696,0.448021,1.27891,2.97444,0
0.001,0.456456,0.425423,0.370222,0.474636,1.28447,2.98962,0
0.0013,0.465319,0.46286,0.392324,0.510122,1.30671,2.99467,0
0.0017,0.478614,0.503701,0.431004,0.567788,1.35119,2.99467,0
0.002,0.49634,0.541138,0.47521,0.634326,1.42348,2.99467,0
0.0023,0.514067,0.568365,0.508364,0.691992,1.51245,2.99467,0
0.0027,0.518498,0.585382,0.530467,0.718607,1.57917,2.99467,0
0.003,0.52293,0.598995,0.541518,0.727479,1.62922,2.99973,0
0.0033,0.545088,0.605802,0.552569,0.731915,1.65146,2.99973,0
0.0037,0.584973,0.616012,0.558095,0.731915,1.66258,3.00479,0
0.004,0.611562,0.626222,0.569147,0.736351,1.6737,3.03008,0
0.0043,0.620425,0.643239,0.574672,0.745222,1.69594,3.06549,0
0.0047,0.620425,0.670466,0.580198,0.75853,1.74042,3.09585,0
0.005,0.620425,0.707904,0.591249,0.771837,1.79603,3.11102,0
0.0053,0.615994,0.752148,0.569147,0.771837,1.84607,2.98962,0
0.0057,0.629289,0.799795,0.585724,0.771837,1.85163,2.77716,0
0.006,0.664742,0.840636,0.646506,0.771837,1.81271,2.50399,0
0.0063,0.704626,0.878073,0.734917,0.767402,1.72374,2.24601,0
0.0067,0.726784,0.908703,0.812277,0.762966,1.62365,2.10942,0
0.007,0.735647,0.932527,0.856483,0.767402,1.53469,2.08413,0
0.0073,0.744511,0.959754,0.87306,0.767402,1.46796,2.07401,0
0.0077,0.762237,0.990384,0.878585,0.75853,1.4346,1.9779,0
0.008,0.802122,1.02101,0.878585,0.749658,1.42904,1.75532,0
0.0083,0.88189,1.04824,0.878585,0.754094,1.44572,1.46699,0
0.0087,0.983818,1.06186,0.878585,0.789581,1.51245,1.23935,0
