"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,4.6495,10.5944,9.59408,10.7243,47.3922,6.63605,178.03
0.0003,4.72912,10.7089,9.63424,11.4271,47.656,6.75178,179.143
0.0007,4.8226,10.7852,9.68057,11.9654,48.1804,6.80259,180.482
0.001,4.91607,10.8327,9.77324,12.3355,48.7939,6.83364,181.792
0.0013,4.98531,10.8523,9.93695,12.5787,49.3787,6.86469,182.683
0.0017,5.0234,10.8535,10.1346,12.754,49.9222,6.89856,183.054
0.002,5.04417,10.8639,10.286,12.9185,50.472,6.92114,183.156
0.0023,5.05455,10.909,10.3509,13.1278,51.0537,6.92396,183.216
0.0027,5.06494,10.9899,10.3539,13.4175,51.6798,6.92679,183.395
0.003,5.08571,11.0801,10.3663,13.793,52.3695,6.95501,183.963
0.0033,5.11341,11.1588,10.425,14.1936,53.2181,7.05098,184.848
0.0037,5.15495,11.2259,10.53,14.5298,54.4322,7.32196,185.375
0.004,5.21381,11.2987,10.6783,14.7426,56.3392,8.00222,185.375
0.0043,5.28997,11.4097,10.8791,14.8302,59.2601,9.39943,186.29
0.0047,5.39383,11.6017,11.1509,14.8427,63.268,11.6011,189.609
0.005,5.51154,11.914,11.5246,14.8463,68.0769,14.2883,194.281
0.0053,5.57386,12.3153,11.6729,14.6853,73.1431,16.8795,195.602
0.0057,5.60848,12.8623,11.9385,14.6782,78.1299,19.0218,195.979
0.006,5.63271,13.496,12.2999,14.9053,82.7195,20.4755,188.856
0.0063,5.62233,14.1436,12.7169,15.3953,86.5525,21.2348,174.717
0.0067,5.52193,14.7415,13.1401,16.0981,89.2478,21.4606,158.747
0.007,5.2692,15.2319,13.5139,16.91,90.6017,21.455,145.787
0.0073,4.87799,15.543,13.7857,17.6968,90.767,21.6808,137.144
0.0077,4.4764,15.6158,13.9123,18.3459,90.1536,22.6856,131.211
0.008,4.2756,15.4354,13.8629,18.8002,89.1906,24.797,125.726
0.0083,4.33099,15.048,13.6251,19.0595,88.1671,27.7918,119.387
0.0087,4.40369,14.5426,13.2421,19.1471,87.2486,31.0125,112.281
0.009,4.35523,14.013,12.8158,19.0881,86.5907,33.7815,105.451
0.0093,4.42793,13.5423,12.4729,18.8949,86.3523,35.715,100.038
0.0097,4.85376,13.1838,12.2938,18.5731,86.5811,36.782,96.4853
0.01,5.34883,12.9467,12.2505,18.151,87.077,37.1913,94.2245
0.0103,5.53924,12.7998,12.2598,17.6843,87.5219,37.2364,92.3644
0.0107,5.47346,12.7061,12.266,17.2408,87.7317,37.2251,90.4326
0.011,5.71234,12.6518,12.2443,16.8742,87.7412,37.4566,88.3333
0.0113,6.8375,12.6252,12.1764,16.606,87.6904,38.1792,86.1502
0.0117,8.83854,12.6183,12.0528,16.4235,87.6618,39.4607,84.3978
0.012,11.255,12.6194,11.8953,16.2894,87.6236,41.0893,83.5844
0.0123,13.4707,12.6113,11.7656,16.1607,87.4774,42.6954,83.381
0.0127,14.8555,12.5743,11.71,15.9962,87.1787,43.9571,83.2913
0.013,15.1671,12.5338,11.7254,15.7959,86.8132,44.7531,83.5186
0.0133,15.2883,12.5789,11.781,15.626,86.5112,45.154,83.7219
0.0137,17.1197,12.7987,11.849,15.6367,86.2665,45.2951,82.7111
0.014,21.0629,13.1826,11.8829,16.0069,85.8533,45.2979,81.5329
0.0143,25.1758,13.6255,11.8644,16.8223,84.9284,45.1878,83.8595
0.0147,27.6269,14.0072,11.7965,17.9722,83.1454,44.9197,89.6072
0.015,28.2051,14.257,11.7254,19.1864,80.3039,44.4031,93.0523
0.0153,28.2016,14.3611,11.7687,20.1843,76.4168,43.6156,90.5761
0.0157,28.8975,14.3426,12.1208,20.8191,71.6779,42.6672,85.3487
0.016,30.1161,14.2419,12.8251,21.1017,66.3605,41.7583,83.058
0.0163,30.9089,14.08,13.6251,21.1088,60.6809,41.0583,84.003
0.0167,31.044,13.8534,14.1502,20.9139,54.8422,40.6885,84.5234
0.017,31.0959,13.5538,14.2459,20.5652,49.1562,40.7704,83.704
0.0173,31.5425,13.23,14.0513,20.1306,44.1058,41.3688,83.1059
0.0177,32.2003,12.9964,13.7919,19.6746,40.1837,42.2748,83.0879
0.018,32.6573,12.9849,13.588,19.2347,37.6093,42.9608,83.07
0.0183,32.7923,13.2393,13.4459,18.8306,36.1536,42.8648,83.2135
0.0187,32.7611,13.666,13.3409,18.4926,35.3368,41.7442,83.6322
0.019,32.7507,14.0997,13.2513,18.2512,34.6884,39.8361,83.704
0.0193,32.8096,14.4119,13.1834,18.117,33.843,37.6965,83.3331
0.0197,32.865,14.5727,13.1339,18.092,32.6129,35.9013,83.0879
0.02,32.8684,14.6282,13.0567,18.1385,31.0524,34.7497,83.07
0.0203,32.8477,14.6409,12.9579,18.1886,29.4441,34.2303,83.0879
0.0207,32.8754,14.6455,13.0197,18.1993,28.1378,34.1541,83.3331
0.021,32.9342,14.6513,13.4367,18.2065,27.4736,34.3093,83.704
0.0213,32.9065,14.664,14.039,18.2655,27.7405,34.4618,83.6322
0.0217,32.678,14.6837,14.4066,18.3567,29.1486,34.2867,83.2135
0.022,32.2522,14.7057,14.4375,18.4103,31.6785,33.471,83.07
0.0223,31.7225,14.7196,14.561,18.4157,35.038,31.9355,83.0879
0.0227,31.1859,14.7253,15.2931,18.4211,38.7058,29.9766,83.0999
0.023,30.7532,14.7265,16.6028,18.4443,42.0208,28.1447,83.698
0.0233,30.6043,14.708,18.0082,18.4336,44.3664,26.866,84.5114
0.0237,30.7324,14.6247,19.1109,18.3048,45.4407,26.1942,84.015
0.024,30.6424,14.4281,19.7874,17.9937,45.4248,26.07,83.07
0.0243,29.7388,14.1217,20.1086,17.4482,44.8559,26.6995,85.3547
0.0247,28.1913,13.7747,20.1859,16.6292,44.2584,28.4354,90.7615
0.025,27.0038,13.4764,20.1303,15.5795,43.8643,31.1988,93.6862
0.0253,26.758,13.2844,20.0592,14.4922,43.6418,34.3347,90.7615
0.0257,26.7441,13.2127,20.0407,13.6821,43.486,37.0868,85.3547
0.026,26.1279,13.2508,19.9727,13.3567,43.3271,39.1022,83.07
0.0263,25.2035,13.3757,19.6546,13.4121,43.165,40.4514,84.015
0.0267,24.9093,13.5585,19.0337,13.5677,43.0284,41.4139,84.5114
0.027,25.3593,13.7713,18.3449,13.6213,42.9394,42.1732,83.698
0.0273,25.7228,13.9725,17.9403,13.5069,42.8758,42.6559,83.0999
0.0277,25.4355,14.1008,17.9279,13.2333,42.8091,42.5853,83.0879
0.028,24.7292,14.0893,18.141,12.8845,42.7105,41.7752,83.07
0.0283,24.1684,13.8985,18.382,12.6145,42.5611,40.5107,83.2135
0.0287,23.9745,13.54,18.5735,12.5072,42.345,39.6018,83.6322
0.029,23.9641,13.0751,18.7156,12.4679,42.1098,39.9885,83.704
0.0293,23.9399,12.6148,18.8453,12.3767,42.0176,42.018,83.3331
0.0297,23.8603,12.2875,18.975,12.2926,42.3037,45.2866,83.0879
0.03,23.7599,12.188,19.0986,12.4411,43.1396,49.0831,83.07
0.0303,23.6699,12.3419,19.2036,12.999,44.5031,52.8429,83.0879
0.0307,23.5833,12.7177,19.2592,13.9146,46.1781,56.2554,83.3331
0.031,23.4933,13.2485,19.1727,14.9375,47.8626,59.1402,83.704
0.0313,23.4102,13.8487,18.9256,15.8048,49.2388,61.3616,83.6322
0.0317,23.3721,14.4351,18.7403,16.4075,50.0271,62.8125,83.2135
0.032,23.3721,14.9647,18.9194,16.8223,49.9826,63.504,83.07
0.0323,23.2786,15.4343,19.4044,17.1979,48.9464,63.631,83.0879
0.0327,22.9532,15.8483,19.6947,17.6271,46.9377,63.4927,83.0999
0.033,22.4928,16.2022,19.3241,18.126,44.2361,63.3883,83.698
0.0333,22.2193,16.4901,18.2584,18.7233,41.3883,63.4955,84.5114
0.0337,22.2193,16.7133,16.8591,19.4404,39.0395,63.8851,84.015
0.034,21.9596,16.8694,15.5773,20.2254,37.6125,64.5032,83.07
0.0343,20.7029,16.9573,14.6722,20.93,37.0467,65.1778,85.3547
0.0347,18.2379,16.9828,14.1718,21.4128,36.9673,65.5871,90.7615
0.035,15.226,16.9585,13.9865,21.6113,37.0277,65.4065,93.6862
0.0353,12.941,16.8914,13.9741,21.5488,37.1071,64.5315,90.7615
0.0357,12.1379,16.7815,13.9278,21.2895,37.2819,63.1907,85.3547
0.036,12.1309,16.6196,13.6498,20.8996,37.657,61.7935,83.07
0.0363,11.7951,16.3907,13.1092,20.4508,38.2418,60.6701,84.015
0.0367,10.6873,16.0923,12.5501,20.0377,38.8965,59.8854,84.5114
0.037,8.9701,15.7338,12.3216,19.7551,39.3987,59.3434,83.698
0.0373,7.03483,15.3441,12.4945,19.6585,39.6148,58.92,83.0999
0.0377,5.2415,14.967,12.7756,19.7515,39.618,58.5644,83.0879
0.038,3.79784,14.6606,12.8683,20.0216,39.5926,58.3273,83.07
0.0383,2.79385,14.4686,12.72,20.4364,39.6625,58.2934,83.2135
0.0387,2.22954,14.3992,12.4513,20.9407,39.7865,58.4063,83.6322
0.039,2.02528,14.4143,12.1826,21.4719,39.8691,58.3273,83.704
0.0393,2.00451,14.457,11.9571,21.9922,39.8468,57.5877,83.3331
0.0397,2.02182,14.4871,11.7594,22.4626,39.6434,55.8631,83.0879
0.04,2.02875,14.4813,11.5524,22.7988,39.1381,53.1195,83.07
0.0403,2.02875,14.4073,11.33,22.8739,38.1814,49.5714,83.0879
0.0407,2.02875,14.2188,11.1694,22.6307,36.7416,45.5209,83.3331
0.041,2.03567,13.873,11.1725,22.1246,34.9395,41.2361,83.704
0.0413,2.04259,13.363,11.3393,21.4987,33.0102,36.957,83.6322
0.0417,2.04259,12.7293,11.5154,20.8907,31.1795,32.9686,83.2135
0.042,2.02875,12.0377,11.5092,20.3739,29.5903,29.6435,83.07
0.0423,2.02182,11.3404,11.2343,19.95,28.2872,27.3571,83.0879
0.0427,2.02182,10.6719,10.7648,19.5763,27.3083,26.2337,83.0999
0.043,2.00797,10.0532,10.2922,19.1864,26.7139,25.974,83.698
0.0433,1.97682,9.51082,9.99872,18.709,26.5518,25.9712,84.5114
0.0437,1.92835,9.07945,9.91532,18.092,26.787,25.6466,84.015
0.044,1.85564,8.78571,9.9215,17.3177,27.2702,24.6587,83.07
0.0443,1.77602,8.62611,9.89061,16.4218,27.8295,22.9736,85.3547
0.0447,1.68947,8.54285,9.80412,15.5223,28.3413,20.8029,90.7615
0.045,1.5406,8.45843,9.72999,14.7819,28.783,18.5025,93.6862
0.0453,1.3952,8.33353,9.71146,14.317,29.2153,16.4194,90.7615
0.0457,1.50944,8.18087,9.71455,14.1256,29.7365,14.802,85.3547
