"Time,s","ABDH,%","ABDM,%","PDIO1,%","PDIO3,%","FDB,%","EDB,%","Sync,%"
0,7.7156,11.3707,11.4956,7.98568,76.6504,7.81987,178.03
0.0003,7.86972,12.1005,11.5564,8.35035,79.0572,8.29739,179.143
0.0007,7.9516,12.9986,11.5582,8.68349,80.6236,8.84943,180.482
0.001,9.57467,14.0126,11.6381,9.0084,81.6168,9.39807,181.792
0.0013,12.946,15.0232,11.8222,9.31686,82.3427,9.90607,182.683
0.0017,15.6287,15.9346,12.0915,9.57459,83.0215,10.3565,183.054
0.002,16.274,16.7513,12.432,9.75967,83.7562,10.7426,183.156
0.0023,16.4619,17.5848,12.8264,9.88168,84.4762,11.0474,183.216
0.0027,18.8267,18.6143,13.2259,9.97491,84.9817,11.2574,183.395
0.003,22.6459,20.006,13.5578,10.0832,85.1756,11.3861,183.963
0.0033,25.6272,21.791,13.7662,10.2587,85.1874,11.4673,184.848
0.0037,27.1154,23.771,13.8618,10.5384,85.205,11.5351,185.375
0.004,27.703,25.6262,13.9018,10.9003,85.2344,11.596,185.375
0.0043,27.9823,27.1237,13.94,11.2471,85.2344,11.657,186.29
0.0047,28.1605,28.2313,14.0355,11.4679,85.3666,11.6942,189.609
0.005,28.2039,29.0591,14.3031,11.5364,85.8633,11.7044,194.281
0.0053,28.2954,29.5071,14.1971,11.535,86.4716,11.657,195.602
0.0057,29.6198,30.0397,14.5237,11.6104,87.0417,11.5791,195.979
0.006,33.2513,30.7985,15.3246,11.8723,87.3738,11.4402,188.856
0.0063,38.2553,31.789,16.4834,12.3219,87.506,11.2235,174.717
0.0067,42.72,32.8999,17.7724,12.8498,87.5413,11.0372,158.747
0.007,45.6723,33.9796,18.9277,13.3172,87.5178,11.1998,145.787
0.0073,47.2954,34.8999,19.746,13.638,87.3356,11.9889,137.144
0.0077,48.1286,35.5707,20.1334,13.8217,86.6626,13.286,131.211
0.008,48.5669,35.9629,20.1751,13.9259,84.9141,14.6373,125.726
