Subject,Slope,Trial,Muscle,Mean_EMG,percent_stance
1,Flat,1,ABDH,28.84728634,0-20
1,Flat,1,ABDM,4.040460295,0-20
1,Flat,1,PDIO1,38.1623274,0-20
1,Flat,1,PDIO3,8.204007895,0-20
1,Flat,1,FDB,12.79811865,0-20
1,Flat,1,EDB,26.66075568,0-20
1,Flat,1,ABDH,22.81941543,20-40
1,Flat,1,ABDM,5.3804416,20-40
1,Flat,1,PDIO1,17.17611299,20-40
1,Flat,1,PDIO3,5.750488695,20-40
1,Flat,1,FDB,11.01645825,20-40
1,Flat,1,EDB,50.12999789,20-40
1,Flat,1,ABDH,5.605487347,40-60
1,Flat,1,ABDM,15.48297709,40-60
1,Flat,1,PDIO1,7.957663832,40-60
1,Flat,1,PDIO3,3.310908042,40-60
1,Flat,1,FDB,11.38955141,40-60
1,Flat,1,EDB,12.05250604,40-60
1,Flat,1,ABDH,25.42546377,60-80
1,Flat,1,ABDM,33.52938484,60-80
1,Flat,1,PDIO1,14.48593017,60-80
1,Flat,1,PDIO3,6.179525032,60-80
1,Flat,1,FDB,48.911948,60-80
1,Flat,1,EDB,27.27391928,60-80
1,Flat,1,ABDH,38.55188027,80-100
1,Flat,1,ABDM,7.127705032,80-100
1,Flat,1,PDIO1,37.05124636,80-100
1,Flat,1,PDIO3,9.710382484,80-100
1,Flat,1,FDB,24.56170198,80-100
1,Flat,1,EDB,38.17248244,80-100
1,Flat,2,ABDH,8.653450821,0-20
1,Flat,2,ABDM,14.70491537,0-20
1,Flat,2,PDIO1,20.78896606,0-20
1,Flat,2,PDIO3,16.84645358,0-20
1,Flat,2,FDB,19.16630312,0-20
1,Flat,2,EDB,7.947213432,0-20
1,Flat,2,ABDH,10.61499775,20-40
1,Flat,2,ABDM,15.47346693,20-40
1,Flat,2,PDIO1,14.14158524,20-40
1,Flat,2,PDIO3,14.30291034,20-40
1,Flat,2,FDB,16.21217069,20-40
1,Flat,2,EDB,25.10478874,20-40
1,Flat,2,ABDH,5.603790442,40-60
1,Flat,2,ABDM,12.92625695,40-60
1,Flat,2,PDIO1,6.962303747,40-60
1,Flat,2,PDIO3,3.467344084,40-60
1,Flat,2,FDB,12.95398021,40-60
1,Flat,2,EDB,6.351455895,40-60
1,Flat,2,ABDH,23.08642356,60-80
1,Flat,2,ABDM,20.78475055,60-80
1,Flat,2,PDIO1,8.670769495,60-80
1,Flat,2,PDIO3,6.334472126,60-80
1,Flat,2,FDB,35.84309368,60-80
1,Flat,2,EDB,34.98300198,60-80
1,Flat,2,ABDH,54.69993442,80-100
1,Flat,2,ABDM,5.571778526,80-100
1,Flat,2,PDIO1,45.90939381,80-100
1,Flat,2,PDIO3,10.21959821,80-100
1,Flat,2,FDB,19.71169789,80-100
1,Flat,2,EDB,22.07158093,80-100
1,Flat,3,ABDH,21.39020384,0-20
1,Flat,3,ABDM,8.882914392,0-20
1,Flat,3,PDIO1,26.55704252,0-20
1,Flat,3,PDIO3,10.48791527,0-20
1,Flat,3,FDB,23.36018503,0-20
1,Flat,3,EDB,12.74917405,0-20
1,Flat,3,ABDH,14.60637096,20-40
1,Flat,3,ABDM,21.98271744,20-40
1,Flat,3,PDIO1,8.741687441,20-40
1,Flat,3,PDIO3,7.106498443,20-40
1,Flat,3,FDB,20.73386345,20-40
1,Flat,3,EDB,18.82255977,20-40
1,Flat,3,ABDH,6.981702281,40-60
1,Flat,3,ABDM,13.84153599,40-60
1,Flat,3,PDIO1,5.886482047,40-60
1,Flat,3,PDIO3,4.93494838,40-60
1,Flat,3,FDB,12.12386011,40-60
1,Flat,3,EDB,6.647364755,40-60
1,Flat,3,ABDH,29.93773356,60-80
1,Flat,3,ABDM,35.24810369,60-80
1,Flat,3,PDIO1,7.744732751,60-80
1,Flat,3,PDIO3,5.540849232,60-80
1,Flat,3,FDB,31.46728687,60-80
1,Flat,3,EDB,10.13131793,60-80
1,Flat,3,ABDH,48.4888452,80-100
1,Flat,3,ABDM,4.889737998,80-100
1,Flat,3,PDIO1,50.59860072,80-100
1,Flat,3,PDIO3,10.30575733,80-100
1,Flat,3,FDB,27.59027245,80-100
1,Flat,3,EDB,16.91124531,80-100
1,Flat,4,ABDH,19.72777385,0-20
1,Flat,4,ABDM,6.333529832,0-20
1,Flat,4,PDIO1,25.86409945,0-20
1,Flat,4,PDIO3,10.19697539,0-20
1,Flat,4,FDB,11.430738,0-20
1,Flat,4,EDB,7.7309352,0-20
1,Flat,4,ABDH,17.75366444,20-40
1,Flat,4,ABDM,43.54520147,20-40
1,Flat,4,PDIO1,16.73850737,20-40
1,Flat,4,PDIO3,25.34548286,20-40
1,Flat,4,FDB,32.96805032,20-40
1,Flat,4,EDB,18.11185465,20-40
1,Flat,4,ABDH,7.115592421,40-60
1,Flat,4,ABDM,9.012638505,40-60
1,Flat,4,PDIO1,16.25938352,40-60
1,Flat,4,PDIO3,17.62049055,40-60
1,Flat,4,FDB,11.32320499,40-60
1,Flat,4,EDB,6.833575832,40-60
1,Flat,4,ABDH,14.92310901,60-80
1,Flat,4,ABDM,20.43922465,60-80
1,Flat,4,PDIO1,22.73969255,60-80
1,Flat,4,PDIO3,12.60638935,60-80
1,Flat,4,FDB,30.58287421,60-80
1,Flat,4,EDB,22.37676389,60-80
1,Flat,4,ABDH,44.23198465,80-100
1,Flat,4,ABDM,4.975514716,80-100
1,Flat,4,PDIO1,38.89203396,80-100
1,Flat,4,PDIO3,9.914090863,80-100
1,Flat,4,FDB,22.46478255,80-100
1,Flat,4,EDB,21.90043667,80-100
